COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Randy Monroe,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Pat Chambers,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Mike McConathy,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Greg Graham,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Dave Loos,-0.1,117,-0.1,131,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Edward Joyner,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Jimmy Patsos,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Cliff Ellis,-0.1,117,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Milan Brown,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
BJ Hill,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Rob Jeter,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Martin Ingelsby,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
John Brannen,-0.1,117,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Dedrique Taylor,-0.1,117,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Kyle Keller,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Preston Spradlin,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Buzz Williams,-0.2,153,-0.2,156,19,10,9,0.526,9,5,4,1,0,0,0,0,39.70%,5.80%
Mike Brey,-0.2,153,-1.1,253,19,10,9,0.526,9,6,2,2,0,0,0,1,38.00%,6.50%
Chris Jans,-0.2,153,-0.5,213,4,1,3,0.25,3,1,0,0,0,0,0,0,1.20%,0.00%
Steve Forbes,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Gary Williams,-0.2,153,-0.2,156,4,2,2,0.5,2,2,0,0,0,0,0,0,8.60%,1.60%
Bob Martin,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
Jeff Neubauer,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Murray Bartow,-0.2,153,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
Bob Burton,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
Bob Thomason,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
